TITLE,AUTHOR,FILEPATHS,GENRE
Kai Lung's Golden Hours,['Ernest Bramah'],['./CORPUS/Fantasy/1267.txt'],{'Fantasy'}
City of Endless Night,['Milo Hastings'],['./CORPUS/ScienceFiction/9862.txt'],{'Science Fiction'}
The Sentimentalists,['Murray Leinster'],['./CORPUS/ScienceFiction/51102.txt'],{'Science Fiction'}
The Riddle of the Sands,['Erskine Childers'],['./CORPUS/Adventure/2360.txt'],{'Adventure'}
Venus is a Man's World,['William Tenn'],['./CORPUS/ScienceFiction/51150.txt'],{'Science Fiction'}
Mate in Two Moves,['Winston Marks'],['./CORPUS/ScienceFiction/32748.txt'],{'Science Fiction'}
The Laughing Prince,['Parker Fillmore'],['./CORPUS/FairyTale/19713.txt'],{'Fairy Tale'}
The Trail of the White Mule,['B.M. Bower'],['./CORPUS/Western/2063.txt'],{'Western'}
George Loves Gistla,['James McKimmey'],['./CORPUS/ScienceFiction/29578.txt'],{'Science Fiction'}
The Devil's Asteroid,['Manly Wade Wellman'],['./CORPUS/ScienceFiction/22538.txt'],{'Science Fiction'}
Raiders of the Universes,['Donald Wandrei'],['./CORPUS/ScienceFiction/29389.txt'],{'Science Fiction'}
The Star Hyacinths,['James H. Schmitz'],['./CORPUS/ScienceFiction/26292.txt'],{'Science Fiction'}
A Fine Fix,['R.C. Noll'],['./CORPUS/ScienceFiction/27696.txt'],{'Science Fiction'}
The Mystery of Orcival,['Emile Gaboriau'],['./CORPUS/CrimeMystery/1651.txt'],{'Crime and Mystery'}
Clean Break,['Roger Dee'],['./CORPUS/ScienceFiction/32212.txt'],{'Science Fiction'}
"Home Again, Home Again",['Cory Doctorow'],['./CORPUS/ScienceFiction/17138.txt'],{'Science Fiction'}
Sales Talk,['Con Blomberg'],['./CORPUS/ScienceFiction/51616.txt'],{'Science Fiction'}
The Ambassador,['Samuel Kimball Merwin'],['./CORPUS/ScienceFiction/32587.txt'],{'Science Fiction'}
The Wizard of the Sea,['Roy Rockwood'],['./CORPUS/ScienceFiction/20132.txt'],{'Science Fiction'}
Cubs of the Wolf,['Raymond F. Jones'],['./CORPUS/ScienceFiction/22526.txt'],{'Science Fiction'}
More English Fairy Tales,['Various'],['./CORPUS/FairyTale/14241.txt'],{'Fairy Tale'}
Dave Dashaway and his Hydroplane,['Roy Rockwood'],['./CORPUS/ScienceFiction/6714.txt'],{'Science Fiction'}
The Impossibles,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/22338.txt'],{'Science Fiction'}
Unborn Tomorrow,['Dallas McCord Reynolds'],['./CORPUS/ScienceFiction/23942.txt'],{'Science Fiction'}
The Poison Belt,['Arthur Conan Doyle'],['./CORPUS/ScienceFiction/126.txt'],{'Science Fiction'}
Jamieson,['William R. Doede'],['./CORPUS/ScienceFiction/51605.txt'],{'Science Fiction'}
The Mystery of the Hasty Arrow,['Anna Katharine Green'],['./CORPUS/CrimeMystery/17763.txt'],{'Crime and Mystery'}
"Adventures of Huckleberry Finn, Part 2",['Mark Twain'],['./CORPUS/Adventure/7101.txt'],{'Adventure'}
Gone Fishing,['James H. Schmitz'],['./CORPUS/ScienceFiction/30140.txt'],{'Science Fiction'}
A Book of Myths,['Jean Lang'],['./CORPUS/FairyTale/22693.txt'],{'Fairy Tale'}
The Bell Tone,['Edmund H.  Leftwich'],['./CORPUS/ScienceFiction/22470.txt'],{'Science Fiction'}
A Place in the Sun,['C.H. Thames'],['./CORPUS/ScienceFiction/26966.txt'],{'Science Fiction'}
The Indulgence of Negu Mah,['Robert Andrew Arthur'],['./CORPUS/ScienceFiction/23688.txt'],{'Science Fiction'}
The Risk Profession,['Donald Edwin Westlake'],['./CORPUS/ScienceFiction/27089.txt'],{'Science Fiction'}
The Settlers,['William H.G. Kingston'],['./CORPUS/Adventure/21482.txt'],{'Adventure'}
The Lost Princess of Oz,['L. Frank Baum'],['./CORPUS/Fantasy/959.txt'],{'Fantasy'}
Brown John's Body,['Winston Marks'],['./CORPUS/ScienceFiction/32076.txt'],{'Science Fiction'}
The Rainbow Trail,['Zane Grey'],['./CORPUS/Western/5067.txt'],{'Western'}
Four Max Carrados Detective Stories,['Ernest Bramah'],['./CORPUS/CrimeMystery/12932.txt'],{'Crime and Mystery'}
The Lonesome Trail and Other Stories,['B.M. Bower'],['./CORPUS/Western/14542.txt'],{'Western'}
The Chasers,['Daniel F. Galouye'],['./CORPUS/ScienceFiction/51508.txt'],{'Science Fiction'}
Miss Ludington's Sister,['Edward Bellamy'],['./CORPUS/ScienceFiction/6903.txt'],{'Science Fiction'}
The Nothing Equation,['Tom Godwin'],['./CORPUS/ScienceFiction/25628.txt'],{'Science Fiction'}
Pen Pal,['Milton Lesser'],['./CORPUS/ScienceFiction/51286.txt'],{'Science Fiction'}
The Amateurs,['Alan Cogan'],['./CORPUS/ScienceFiction/51081.txt'],{'Science Fiction'}
Nightmare Planet,['Murray Leinster'],['./CORPUS/ScienceFiction/42987.txt'],{'Science Fiction'}
The Destroyers,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/24166.txt'],{'Science Fiction'}
The Saracen: The Holy War,['Robert Shea'],['./CORPUS/ScienceFiction/28516.txt'],{'Science Fiction'}
Falcons of Narabedla,['Marion Zimmer Bradley'],"['./CORPUS/ScienceFiction/50566.txt', './CORPUS/Fantasy/50566.txt']","{'Science Fiction', 'Fantasy'}"
Sweet Their Blood and Sticky,['Albert Teichner'],['./CORPUS/ScienceFiction/21568.txt'],{'Science Fiction'}
Star Born,['Andre Norton'],"['./CORPUS/Adventure/18458.txt', './CORPUS/ScienceFiction/18458.txt']","{'Adventure', 'Science Fiction'}"
The Monster,['S.M. Tenneshaw'],['./CORPUS/ScienceFiction/24913.txt'],{'Science Fiction'}
The Dash for Khartoum,['George Alfred Henty'],['./CORPUS/Adventure/21986.txt'],{'Adventure'}
Astounding Stories of Super-Science February 1930,['Various'],['./CORPUS/ScienceFiction/28617.txt'],{'Science Fiction'}
Hunter Patrol,"['Henry Beam Piper', 'John J. McGuire']",['./CORPUS/ScienceFiction/18641.txt'],{'Science Fiction'}
Transfer Point,['Anthony Boucher'],['./CORPUS/ScienceFiction/51115.txt'],{'Science Fiction'}
Out of This World Convention,['Forrest James Ackerman'],['./CORPUS/ScienceFiction/28535.txt'],{'Science Fiction'}
Angel's Egg,['Edgar Pangborn'],['./CORPUS/ScienceFiction/51408.txt'],{'Science Fiction'}
Dead Giveaway,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/24054.txt'],{'Science Fiction'}
"Jubilation, U.S.A.",['G.L. Vandenburg'],['./CORPUS/ScienceFiction/22589.txt'],{'Science Fiction'}
Coming Attraction,['Fritz Leiber'],['./CORPUS/ScienceFiction/51082.txt'],{'Science Fiction'}
A Bottle of Old Wine,['Richard O. Lewis'],['./CORPUS/ScienceFiction/30004.txt'],{'Science Fiction'}
"Adventures of Huckleberry Finn, Part 7",['Mark Twain'],['./CORPUS/Adventure/7106.txt'],{'Adventure'}
The Outlaw of Torn,['Edgar Rice Burroughs'],['./CORPUS/ScienceFiction/369.txt'],{'Science Fiction'}
Flight From Tomorrow,['Henry Beam Piper'],['./CORPUS/ScienceFiction/18460.txt'],{'Science Fiction'}
The Arrow of Gold,['Joseph Conrad'],['./CORPUS/Adventure/1083.txt'],{'Adventure'}
The Deep One,['Neil P. Ruzic'],['./CORPUS/ScienceFiction/51091.txt'],{'Science Fiction'}
Devil Crystals of Arret,['Hal K. Wells'],['./CORPUS/ScienceFiction/28628.txt'],{'Science Fiction'}
My Lady Selene,['Magnus Ludens'],['./CORPUS/ScienceFiction/50892.txt'],{'Science Fiction'}
The Place Where Chicago Was,['Jim Harmon'],['./CORPUS/ScienceFiction/51832.txt'],{'Science Fiction'}
The Old Man in the Corner,['Baroness Orczy'],['./CORPUS/CrimeMystery/10556.txt'],{'Crime and Mystery'}
Assassin,['Jesse Franklin Bone'],['./CORPUS/ScienceFiction/32237.txt'],{'Science Fiction'}
The Young Franc Tireurs,['G.A. Henty'],['./CORPUS/Adventure/22060.txt'],{'Adventure'}
The Great Nebraska Sea,['Allan Danzig'],['./CORPUS/ScienceFiction/50893.txt'],{'Science Fiction'}
Racketty-Packetty House,['Frances H. Burnett'],['./CORPUS/Fantasy/8574.txt'],{'Fantasy'}
The Disappearance of Lady Frances Carfax,['Arthur Conan Doyle'],['./CORPUS/CrimeMystery/2348.txt'],{'Crime and Mystery'}
Unwise Child,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/23335.txt'],{'Science Fiction'}
2 B R 0 2 B,['Kurt Vonnegut'],['./CORPUS/ScienceFiction/21279.txt'],{'Science Fiction'}
Chain Reaction,['Boyd Ellanby'],['./CORPUS/ScienceFiction/51255.txt'],{'Science Fiction'}
The Winds of Time,['James H. Schmitz'],['./CORPUS/ScienceFiction/24395.txt'],{'Science Fiction'}
Cleek: the Man of the Forty Faces,['Thomas W. Hanshew'],['./CORPUS/CrimeMystery/14332.txt'],{'Crime and Mystery'}
The Children of Odin,['Padraic Colum'],['./CORPUS/FairyTale/24737.txt'],{'Fairy Tale'}
The Door in the Wall And Other Stories,['H.G. Wells'],['./CORPUS/ScienceFiction/456.txt'],{'Science Fiction'}
Beach Scene,['Marshall King'],['./CORPUS/ScienceFiction/51494.txt'],{'Science Fiction'}
How to Make Friends,['Jim Harmon'],['./CORPUS/ScienceFiction/50818.txt'],{'Science Fiction'}
Before Egypt,['E.K. Jarvis'],['./CORPUS/ScienceFiction/30932.txt'],{'Science Fiction'}
A World Apart,['Samuel Kimball Merwin'],['./CORPUS/ScienceFiction/31215.txt'],{'Science Fiction'}
The Ignoble Savages,['Evelyn E. Smith'],['./CORPUS/ScienceFiction/51413.txt'],{'Science Fiction'}
Two Weeks in August,['Frank M. Robinson'],['./CORPUS/ScienceFiction/51008.txt'],{'Science Fiction'}
Trees Are Where You Find Them,['Arthur Dekker Savage'],['./CORPUS/ScienceFiction/30010.txt'],{'Science Fiction'}
Runaway,['William Morrison'],['./CORPUS/ScienceFiction/29897.txt'],{'Science Fiction'}
The Radio Boys on the Mexican Border,['Gerald Breckenridge'],['./CORPUS/Adventure/14278.txt'],{'Adventure'}
The Wisdom of Father Brown,['G.K. Chesterton'],['./CORPUS/CrimeMystery/223.txt'],{'Crime and Mystery'}
The Fantasy Fan September 1933,['Various'],['./CORPUS/ScienceFiction/46222.txt'],{'Science Fiction'}
Under Western Eyes,['Joseph Conrad'],['./CORPUS/Adventure/2480.txt'],{'Adventure'}
Confidence Game,['Jim Harmon'],['./CORPUS/ScienceFiction/51305.txt'],{'Science Fiction'}
Missing Link,['Frank Patrick Herbert'],['./CORPUS/ScienceFiction/23210.txt'],{'Science Fiction'}
The Radio Boys' Search for the Inca's Treasure,['Gerald Breckenridge'],['./CORPUS/Adventure/35987.txt'],{'Adventure'}
Charley de Milo,['Laurence Mark Janifer AKA Larry M. Harris'],['./CORPUS/ScienceFiction/23889.txt'],{'Science Fiction'}
The Blind Spot,['Austin Hall'],['./CORPUS/ScienceFiction/4920.txt'],{'Science Fiction'}
The Cartels Jungle,['Irving E. Cox Jr.'],['./CORPUS/ScienceFiction/31062.txt'],{'Science Fiction'}
Glinda of Oz,['L. Frank Baum'],['./CORPUS/Fantasy/961.txt'],{'Fantasy'}
No Great Magic,['Fritz Reuter Leiber'],['./CORPUS/ScienceFiction/23162.txt'],{'Science Fiction'}
The Chapter Ends,['Poul William Anderson'],['./CORPUS/ScienceFiction/41064.txt'],{'Science Fiction'}
An Occurrence at Owl Creek,['Ambrose Bierce'],['./CORPUS/Horror/375.txt'],{'Horror'}
Shipping Clerk,['William Morrison'],['./CORPUS/ScienceFiction/50796.txt'],{'Science Fiction'}
The Lost Kafoozalum,['Pauline Ashwell'],['./CORPUS/ScienceFiction/30427.txt'],{'Science Fiction'}
The Adventure of Wisteria Lodge,['Arthur Conan Doyle'],['./CORPUS/CrimeMystery/2343.txt'],{'Crime and Mystery'}
The Adventure of the Devil's Foot,['Arthur Conan Doyle'],['./CORPUS/CrimeMystery/2349.txt'],{'Crime and Mystery'}
The Rivet in Grandfather's Neck,['James Branch Cabell'],['./CORPUS/Fantasy/10041.txt'],{'Fantasy'}
The Sargasso of Space,['Edmond Hamilton'],['./CORPUS/ScienceFiction/28832.txt'],{'Science Fiction'}
And All the Earth a Grave,['Carroll M. Capps'],['./CORPUS/ScienceFiction/23146.txt'],{'Science Fiction'}
Starman's Quest,['Robert Silverberg'],['./CORPUS/ScienceFiction/27444.txt'],{'Science Fiction'}
On the Fourth Planet,['J.F. Bone'],['./CORPUS/ScienceFiction/50904.txt'],{'Science Fiction'}
Space Prison,['Tom Godwin'],['./CORPUS/ScienceFiction/22549.txt'],{'Science Fiction'}
Rebel Spurs,['Andre Norton'],['./CORPUS/Western/20840.txt'],{'Western'}
The Rat Racket,['David Henry Keller'],['./CORPUS/ScienceFiction/26890.txt'],{'Science Fiction'}
The Wonderful Visit,['Herbert George Wells'],"['./CORPUS/ScienceFiction/33913.txt', './CORPUS/Horror/33913.txt']","{'Science Fiction', 'Horror'}"
The End of Time,['Wallace West'],['./CORPUS/ScienceFiction/29410.txt'],{'Science Fiction'}
Around the World in 80 Days,['Jules Verne'],['./CORPUS/Adventure/103.txt'],{'Adventure'}
A Pail of Air,['Fritz Leiber'],['./CORPUS/ScienceFiction/51461.txt'],{'Science Fiction'}
Martian V.F.W.,['G.L. Vandenburg'],['./CORPUS/ScienceFiction/22110.txt'],{'Science Fiction'}
Wanted--7 Fearless Engineers!,['Warner Van Lorne'],['./CORPUS/ScienceFiction/26941.txt'],{'Science Fiction'}
Brood of the Witch-Queen,['Sax Rohmer'],['./CORPUS/CrimeMystery/19706.txt'],{'Crime and Mystery'}
The Man Who Rocked the Earth,['Arthur Train'],['./CORPUS/ScienceFiction/19174.txt'],{'Science Fiction'}
The Repairman,['Harry Harrison'],['./CORPUS/ScienceFiction/22073.txt'],{'Science Fiction'}
The Gringos,['B.M. Bower'],['./CORPUS/Western/12139.txt'],{'Western'}
The Love of Frank Nineteen,['David Carpenter Knight'],['./CORPUS/ScienceFiction/27921.txt'],{'Science Fiction'}
Catriona,['Robert Louis Stevenson'],['./CORPUS/Adventure/589.txt'],{'Adventure'}
Double Take,['Richard Wilson'],['./CORPUS/ScienceFiction/30063.txt'],{'Science Fiction'}
The Scarecrow of Oz,['L. Frank Baum'],['./CORPUS/Fantasy/957.txt'],{'Fantasy'}
Police Operation,['H. Beam Piper'],['./CORPUS/ScienceFiction/19067.txt'],{'Science Fiction'}
Mr. Midshipman Easy,['Captain Frederick Marryat'],['./CORPUS/Adventure/21553.txt'],{'Adventure'}
Potential Enemy,['Mack Reynolds'],['./CORPUS/ScienceFiction/40954.txt'],{'Science Fiction'}
Fifty Per Cent Prophet,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/30337.txt'],{'Science Fiction'}
Mask of Death,['Paul Ernst'],['./CORPUS/ScienceFiction/32905.txt'],{'Science Fiction'}
The Pygmy Planet,['John Stewart Williamson'],['./CORPUS/ScienceFiction/29177.txt'],{'Science Fiction'}
Preferred Risk,['Edson McCann'],['./CORPUS/ScienceFiction/51814.txt'],{'Science Fiction'}
Alarm Clock,['Everett B. Cole'],['./CORPUS/ScienceFiction/24180.txt'],{'Science Fiction'}
Skyrider,['B.M. Bower'],['./CORPUS/Western/16871.txt'],{'Western'}
Doctor,['Murray Leinster'],['./CORPUS/ScienceFiction/51782.txt'],{'Science Fiction'}
The Radio Man,['Ralph Milne Farley'],['./CORPUS/ScienceFiction/52167.txt'],{'Science Fiction'}
Twelve Stories and a Dream,['H.G. Wells'],['./CORPUS/ScienceFiction/1743.txt'],{'Science Fiction'}
Mercenary,['Dallas McCord Reynolds'],['./CORPUS/ScienceFiction/24370.txt'],{'Science Fiction'}
The Ego Machine,['Henry Kuttner'],['./CORPUS/ScienceFiction/32108.txt'],{'Science Fiction'}
The Mississippi Saucer,['Frank Belknap Long'],['./CORPUS/ScienceFiction/23568.txt'],{'Science Fiction'}
My Shipmate--Columbus,['Stephen Wilder'],['./CORPUS/ScienceFiction/27019.txt'],{'Science Fiction'}
Sky Island,['L. Frank Baum'],['./CORPUS/Fantasy/4356.txt'],{'Fantasy'}
The King in Yellow,['Robert W. Chambers'],['./CORPUS/Horror/8492.txt'],{'Horror'}
Meeting of the Minds,['Robert Sheckley'],['./CORPUS/ScienceFiction/51833.txt'],{'Science Fiction'}
Egocentric Orbit,['John Cory'],['./CORPUS/ScienceFiction/24101.txt'],{'Science Fiction'}
Where There's Hope,['Jerome Bixby'],['./CORPUS/ScienceFiction/30715.txt'],{'Science Fiction'}
The Right Time,['Walter Bupp'],['./CORPUS/ScienceFiction/30770.txt'],{'Science Fiction'}
The Hour of Battle,['Robert Sheckley'],['./CORPUS/ScienceFiction/29445.txt'],{'Science Fiction'}
Tom Swift and his Wireless Message,['Victor Appleton'],['./CORPUS/Adventure/4227.txt'],{'Adventure'}
By Pike and Dyke,['G.A. Henty'],['./CORPUS/Adventure/6952.txt'],{'Adventure'}
Longevity,['Therese Windser'],['./CORPUS/ScienceFiction/24928.txt'],{'Science Fiction'}
D-99,['H.B. Fyfe'],['./CORPUS/ScienceFiction/51866.txt'],{'Science Fiction'}
The History of the Caliph Vathek,['William Beckford'],['./CORPUS/Fantasy/2060.txt'],{'Fantasy'}
Blind Love,['Wilkie Collins'],"['./CORPUS/CrimeMystery/7890.txt', './CORPUS/Romance/7890.txt']","{'Crime and Mystery', 'Romance'}"
The Rag and Bone Men,['Algis Budrys'],['./CORPUS/ScienceFiction/51589.txt'],{'Science Fiction'}
Of Time and Texas,['William F. Nolan'],['./CORPUS/ScienceFiction/28893.txt'],{'Science Fiction'}
The Water of the Wondrous Isles,['William Morris'],['./CORPUS/Fantasy/8778.txt'],{'Fantasy'}
Two Boys in Wyoming,['Edward S. Ellis'],['./CORPUS/Western/20223.txt'],{'Western'}
"Le Morte D'Arthur, Volume I (of II)",['Thomas Malory'],['./CORPUS/Fantasy/1251.txt'],{'Fantasy'}
Pinocchio,['C. Collodi'],['./CORPUS/Fantasy/16865.txt'],{'Fantasy'}
The Affair of the Brains,['Anthony Gilmore'],['./CORPUS/ScienceFiction/29310.txt'],{'Science Fiction'}
Going Some,['Ellingwood Beach'],['./CORPUS/Western/6488.txt'],{'Western'}
Noble Redman,['Jesse Franklin Bone'],['./CORPUS/ScienceFiction/31701.txt'],{'Science Fiction'}
Ralestone Luck,['Andre Norton'],"['./CORPUS/ScienceFiction/18817.txt', './CORPUS/Fantasy/18817.txt']","{'Science Fiction', 'Fantasy'}"
"The Country of the Blind, And Other Stories",['H.G. Wells'],['./CORPUS/ScienceFiction/11870.txt'],{'Science Fiction'}
Tabby,['Winston Marks'],['./CORPUS/ScienceFiction/32613.txt'],{'Science Fiction'}
The Certain Hour,['James Branch Cabell'],['./CORPUS/Fantasy/288.txt'],{'Fantasy'}
A Thief in the Night,['E.W. Hornung'],['./CORPUS/CrimeMystery/2098.txt'],{'Crime and Mystery'}
Blind Spot,['Bascom Jones'],['./CORPUS/ScienceFiction/30454.txt'],{'Science Fiction'}
Progress Report,['Mark Clifton'],['./CORPUS/ScienceFiction/36867.txt'],{'Science Fiction'}
The Aggravation of Elmer,['Robert Andrew Arthur'],['./CORPUS/ScienceFiction/29618.txt'],{'Science Fiction'}
The Hills of Home,['Alfred Coppel'],['./CORPUS/ScienceFiction/22102.txt'],{'Science Fiction'}
The Beasts of Tarzan,['Edgar Rice Burroughs'],"['./CORPUS/Adventure/85.txt', './CORPUS/Fantasy/85.txt']","{'Adventure', 'Fantasy'}"
The Phantom Ship,['Captain Frederick Marryat'],['./CORPUS/Adventure/12954.txt'],{'Adventure'}
The Sea Fairies,['L. Frank Baum'],['./CORPUS/Fantasy/4358.txt'],{'Fantasy'}
Bones in London,['Edgar Wallace'],['./CORPUS/Adventure/27525.txt'],{'Adventure'}
The Princess and Curdie,['George MacDonald'],['./CORPUS/Fantasy/36612.txt'],{'Fantasy'}
Vulcan's Workshop,['Harl Vincent'],['./CORPUS/ScienceFiction/29321.txt'],{'Science Fiction'}
"Tree, Spare that Woodman",['Dave Dryfoos'],['./CORPUS/ScienceFiction/29794.txt'],{'Science Fiction'}
My Book of Favorite Fairy Tales,['Edric  Vredenburg'],['./CORPUS/FairyTale/15145.txt'],{'Fairy Tale'}
Pandemic,['Jesse Franklin Bone'],['./CORPUS/ScienceFiction/26206.txt'],{'Science Fiction'}
The Coffin Cure,['Alan Edward Nourse'],['./CORPUS/ScienceFiction/24276.txt'],{'Science Fiction'}
Survival Kit,['Frederik Pohl'],['./CORPUS/ScienceFiction/51809.txt'],{'Science Fiction'}
The Mysterious Affair at Styles,['Agatha Christie'],['./CORPUS/CrimeMystery/863.txt'],{'Crime and Mystery'}
The Legion of Lazarus,['Edmond Hamilton'],['./CORPUS/ScienceFiction/32486.txt'],{'Science Fiction'}
The Glimpses of the Moon,['Edith Wharton'],['./CORPUS/Romance/1263.txt'],{'Romance'}
The Big Time,['Fritz Reuter Leiber'],['./CORPUS/ScienceFiction/32256.txt'],{'Science Fiction'}
The Hidden Children,['Robert W. Chambers'],['./CORPUS/Western/4984.txt'],{'Western'}
The Riddle of the Frozen Flame,['Mary E. Hanshew'],['./CORPUS/CrimeMystery/17180.txt'],{'Crime and Mystery'}
The Girl in the Golden Atom,['Raymond King Cummings'],['./CORPUS/ScienceFiction/21094.txt'],{'Science Fiction'}
Desert Gold,['Zane Grey'],['./CORPUS/Western/502.txt'],{'Western'}
In the Court of King Arthur,['Samuel Lowe'],['./CORPUS/Fantasy/6582.txt'],{'Fantasy'}
The War of the Worlds,['H.G. Wells'],['./CORPUS/ScienceFiction/36.txt'],{'Science Fiction'}
The Cavern of the Shining Ones,['Hal K. Wells'],['./CORPUS/ScienceFiction/27143.txt'],{'Science Fiction'}
The Radio Planet,['Ralph Milne Farley'],['./CORPUS/ScienceFiction/52326.txt'],{'Science Fiction'}
No Hiding Place,['Richard R. Smith'],['./CORPUS/ScienceFiction/29272.txt'],{'Science Fiction'}
Five Weeks in a Balloon,['Jules Verne'],['./CORPUS/Adventure/3526.txt'],{'Adventure'}
Uniform of a Man,['Dave Dryfoos'],['./CORPUS/ScienceFiction/32737.txt'],{'Science Fiction'}
Tight Squeeze,['Dean Charles Ing'],['./CORPUS/ScienceFiction/23337.txt'],{'Science Fiction'}
The House on the Borderland,['William Hope Hodgson'],"['./CORPUS/ScienceFiction/10002.txt', './CORPUS/Horror/10002.txt', './CORPUS/Fantasy/10002.txt']","{'Science Fiction', 'Horror', 'Fantasy'}"
Junior,['Robert Abernathy'],['./CORPUS/ScienceFiction/49809.txt'],{'Science Fiction'}
Operation Lorelie,['William P. Salton'],['./CORPUS/ScienceFiction/29160.txt'],{'Science Fiction'}
"Futuria Fantasia, Fall 1939",['Ray Bradbury'],['./CORPUS/ScienceFiction/41624.txt'],{'Science Fiction'}
The Pioneers,['James Fenimore Cooper'],['./CORPUS/Adventure/2275.txt'],{'Adventure'}
Astounding Stories of Super-Science July 1930,['Various'],['./CORPUS/ScienceFiction/29198.txt'],{'Science Fiction'}
The Measure of a Man,['Randall Garrett'],['./CORPUS/ScienceFiction/24135.txt'],{'Science Fiction'}
The Mysterious Island,['Jules Verne'],['./CORPUS/ScienceFiction/1268.txt'],{'Science Fiction'}
The Worshippers,['Damon Francis Knight'],['./CORPUS/ScienceFiction/22560.txt'],{'Science Fiction'}
Solomon's Orbit,['William Carroll'],['./CORPUS/ScienceFiction/23160.txt'],{'Science Fiction'}
The Queen's Cup,['G.A. Henty'],['./CORPUS/Adventure/17436.txt'],{'Adventure'}
Beside Still Waters,['Robert Sheckley'],['./CORPUS/ScienceFiction/29446.txt'],{'Science Fiction'}
Gun for Hire,['Dallas McCord Reynolds'],['./CORPUS/ScienceFiction/24247.txt'],{'Science Fiction'}
Address: Centauri,['F.L. Wallace'],['./CORPUS/ScienceFiction/50736.txt'],{'Science Fiction'}
"Astounding Stories, March, 1931",['Various'],['./CORPUS/ScienceFiction/30166.txt'],{'Science Fiction'}
The Memory of Mars,['Raymond F. Jones'],['./CORPUS/ScienceFiction/26093.txt'],{'Science Fiction'}
Project Hush,['Philip Klass'],['./CORPUS/ScienceFiction/32654.txt'],{'Science Fiction'}
Wandl the Invader,['Raymond King Cummings'],['./CORPUS/ScienceFiction/20859.txt'],{'Science Fiction'}
The Elusive Pimpernel,['Baroness Emmuska Orczy'],['./CORPUS/Adventure/2785.txt'],{'Adventure'}
The Eyes Have It,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/30833.txt'],{'Science Fiction'}
Harrigan,['Max Brand'],['./CORPUS/Western/9791.txt'],{'Western'}
Martians Never Die,['Lucius Daniel'],['./CORPUS/ScienceFiction/29735.txt'],{'Science Fiction'}
Danger in Deep Space,['Carey Rockwell'],['./CORPUS/ScienceFiction/19709.txt'],{'Science Fiction'}
The Law and the Lady,['Wilkie Collins'],['./CORPUS/CrimeMystery/1622.txt'],{'Crime and Mystery'}
Pagan Passions,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/22767.txt'],{'Science Fiction'}
The Lair of the White Worm,['Bram Stoker'],['./CORPUS/Horror/1188.txt'],{'Horror'}
The Thirty-nine Steps,['John Buchan'],"['./CORPUS/Adventure/558.txt', './CORPUS/CrimeMystery/558.txt']","{'Adventure', 'Crime and Mystery'}"
